p,d,t,X,success
0.14,10,14120,163.7947467,1
0.14,10,38622,274.4879614,1
0.14,10,5337,124.1155979,1
0.14,10,5245,123.6999675,1
0.15,10,7080,148.3942094,1
0.15,10,8931,161.0446375,1
0.15,10,5468,137.3771969,1
0.15,10,4230,128.9162406,1
0.15,10,10817,173.9342688,1
0.15,10,15128,203.3972594,1
0.15,10,6573,144.9291813,1
0.15,10,3442,123.5307531,1
0.15,10,5873,140.1451188,1
0.15,10,3151,121.54195,1
0.08,14,10544,197.6585851,1
0.08,14,13841,198.1771583,1
0.08,14,8592,197.351562,1
0.08,14,4461,196.7018119,1
0.08,14,13851,198.1787312,1
0.08,14,3155,196.4963959,1
0.08,14,2212001,543.9178314,1
0.08,14,6211,196.9770631,1
0.08,14,8084,197.2716605,1
0.08,14,2496,196.3927441,1
0.09,14,2277,196.7263736,1
0.09,14,6645,198.1191741,1
0.09,14,1947,196.6211482,1
0.09,14,2290,196.7305188,1
0.09,14,91111,225.0523914,1
0.09,14,1856,196.5921316,1
0.09,14,1740,196.5551433,1
0.09,14,7227,198.3047533,1
0.09,14,5594,197.7840474,1
0.09,14,4763,197.519071,1
0.1,14,4135,198.4816,1
0.1,14,2712,197.6278,1
0.1,14,1975,197.1856,1
0.1,14,4929,198.958,1
0.1,14,5286,199.1722,1
0.1,14,1820,197.0926,1
0.1,14,777794,662.677,1
0.1,14,8713,201.2284,1
0.1,14,5706,199.4242,1
0.1,14,2538,197.5234,1
0.11,14,2484,198.6413975,1
0.11,14,3788,200.0274668,1
0.11,14,9192,205.7715762,1
0.11,14,2084,198.2162228,1
0.11,14,5005,201.3210606,1
0.11,14,2085,198.2172857,1
0.11,14,5063,201.3827109,1
0.11,14,4418,200.6971168,1
0.11,14,11945,208.6978406,1
0.11,14,2874,199.0559427,1
0.12,14,3644,202.530347,1
0.12,14,2451,200.3929797,1
0.12,14,2041,199.6584276,1
0.12,14,3122,201.5951368,1
0.12,14,2880,201.1615719,1
0.12,14,3877,202.9477876,1
0.12,14,8678,211.5492131,1
0.12,14,3066,201.4948078,1
0.12,14,2435,200.3643142,1
0.12,14,1670,198.9937476,1
0.13,14,4269,208.3662847,1
0.13,14,2189,202.342427,1
0.13,14,4361,208.6327245,1
0.13,14,2345,202.7942163,1
0.13,14,8081,219.4061622,1
0.13,14,4199,208.1635587,1
0.13,14,1981,201.7400413,1
0.13,14,2409,202.9795658,1
0.13,14,1724,200.9957473,1
0.13,14,2515,203.2865509,1
0.14,14,4818,217.7709004,1
0.14,14,10299,242.5325325,1
0.14,14,6041,223.2960739,1
0.14,14,1787,204.0776862,1
0.14,14,1820,204.226771,1
0.14,14,5367,220.2511295,1
0.14,14,4192,214.9428067,1
0.14,14,8766,235.6068653,1
0.14,14,1813,204.195147,1
0.14,14,1090,200.9288343,1
0.15,14,1783,208.192525,1
0.15,14,3849,222.3123438,1
0.15,14,1801,208.3155438,1
0.15,14,1323,205.0487125,1
0.15,14,2511,213.16795,1
0.15,14,1556,206.6411219,1
0.15,14,3831,222.189325,1
0.15,14,1964,209.4295469,1
0.15,14,1721,207.7687938,1
0.15,14,4557,227.1510813,1
